Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer,Yield,Rainfall
34.0,65.0,64.0,Black,Cotton,24,0,20,28-28,25.9,125.11
28.0,54.0,47.0,Sandy,Barley,5,18,15,10/26/2026,20.5,124.44
27.0,53.0,35.0,Black,Oil seeds,37,0,0,Urea,17.85,114.96
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP,27.45,126.6
34.0,65.0,57.0,Black,Sugarcane,9,0,13,20-20,21.2,128.61
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,14-35-14,24.15,120.0
25.0,50.0,40.0,Clayey,Pulses,6,19,16,10/26/2026,19.15,116.13
30.0,60.0,38.0,Sandy,Millets,10,0,14,20-20,17.2,124.1
26.0,52.0,39.0,Clayey,Pulses,21,0,23,28-28,19.6,120.49
31.0,62.0,32.0,Red,Tobacco,39,0,0,Urea,18.45,132.75
34.0,65.0,48.0,Loamy,Wheat,23,0,19,28-28,22.4,137.92
27.0,53.0,34.0,Black,Oil seeds,42,0,0,Urea,18.4,121.06
33.0,64.0,31.0,Red,Ground Nuts,13,0,39,DAP,20.4,133.14
29.0,58.0,42.0,Clayey,Paddy,9,10,22,14-35-14,20.35,128.18
30.0,60.0,47.0,Sandy,Maize,22,0,21,28-28,21.85,135.76
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,20-20,20.85,115.72
26.0,52.0,36.0,Clayey,Pulses,7,16,20,10/26/2026,18.85,113.95
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP,26.9,127.16
28.0,54.0,43.0,Clayey,Paddy,10,8,29,14-35-14,21.05,122.0
30.0,60.0,40.0,Sandy,Millets,41,0,0,Urea,20.15,130.65
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP,26.15,133.08
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,20-20,20.0,114.84
31.0,62.0,44.0,Sandy,Barley,21,0,28,28-28,22.35,128.88
35.0,67.0,28.0,Clayey,Pulses,8,7,31,14-35-14,19.2,131.23
29.0,58.0,30.0,Red,Tobacco,13,17,16,10/26/2026,18.7,120.31
27.0,53.0,30.0,Black,Millets,35,0,0,Urea,16.55,110.58
36.0,68.0,50.0,Loamy,Wheat,12,18,19,10/26/2026,24.15,139.04
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP,25.35,122.65
30.0,60.0,26.0,Black,Oil seeds,8,9,30,14-35-14,18.25,127.11
34.0,65.0,45.0,Clayey,Paddy,6,19,21,10/26/2026,22.4,133.81
36.0,68.0,41.0,Red,Ground Nuts,41,0,0,Urea,21.15,139.08
28.0,54.0,25.0,Sandy,Maize,9,10,30,14-35-14,17.75,123.84
25.0,50.0,32.0,Clayey,Pulses,24,0,19,28-28,17.85,109.25
30.0,60.0,27.0,Red,Tobacco,4,17,17,10/26/2026,17.1,135.56
38.0,72.0,51.0,Loamy,Wheat,39,0,0,Urea,23.25,136.65
36.0,60.0,43.0,Sandy,Millets,15,0,41,DAP,23.0,120.45
29.0,58.0,57.0,Black,Sugarcane,12,0,10,20-20,20.5,126.19
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP,17.73,133.55
27.45,66.38,50.14,Black,Millets,9,12,14,28-28,21.92,145.03
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea,21.93,134.12
28.84,58.91,33.06,Clayey,Millets,8,9,28,17-17-17,19.25,123.63
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,28-28,20.4,124.81
25.59,63.6,46.33,Clayey,Cotton,11,0,11,28-28,18.93,137.06
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,Urea,16.55,151.77
36.05,73.59,58.17,Red,Millets,9,14,11,17-17-17,24.09,143.91
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,28-28,23.6,147.69
27.66,53.58,40.96,Red,Cotton,41,0,3,20-20,20.15,117.02
28.27,52.88,43.3,Black,Wheat,40,0,0,10/26/2026,19.95,116.52
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,Urea,23.72,144.1
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP,23.99,114.94
30.63,63.88,38.71,Loamy,Paddy,19,4,28,DAP,21.78,136.86
26.02,52.46,31.12,Loamy,Barley,11,5,12,10/26/2026,15.67,107.42
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,14-35-14,24.82,125.58
23.71,51.25,30.5,Black,Oil seeds,11,0,8,17-17-17,14.08,114.15
30.63,61.45,23.18,Black,Maize,37,2,4,17-17-17,17.23,127.29
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,14-35-14,17.17,116.36
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,10/26/2026,27.27,129.66
31.19,60.94,30.51,Black,Paddy,12,0,36,Urea,19.4,125.35
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,Urea,23.75,135.53
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP,21.32,137.77
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,17-17-17,23.64,126.85
33.24,69.48,65.48,Clayey,Cotton,8,13,28,10/26/2026,27.39,137.72
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,Urea,20.22,126.43
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP,24.68,136.92
29.04,71.09,21.12,Sandy,Maize,34,0,3,14-35-14,16.88,146.74
23.59,55.82,62.92,Red,Sugarcane,39,0,0,Urea,24.02,134.68
38.56,73.46,30.62,Black,Pulses,11,0,32,28-28,19.92,147.13
30.87,63.94,46.2,Sandy,Cotton,15,0,8,Urea,19.08,128.98
25.83,51.1,59.57,Sandy,Maize,38,4,0,Urea,23.32,116.45
34.51,63.92,70.0,Loamy,Sugarcane,14,0,35,17-17-17,27.74,130.39
31.92,62.59,27.78,Sandy,Pulses,18,0,25,DAP,18.27,134.57
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,20-20,20.65,126.4
27.53,55.04,57.07,Sandy,Pulses,4,0,14,28-28,19.62,129.16
24.53,67.4,48.49,Red,Paddy,8,9,18,20-20,21.69,152.89
30.82,51.91,54.23,Red,Wheat,15,4,33,14-35-14,23.84,107.85
32.53,59.45,20.16,Loamy,Cotton,9,15,16,17-17-17,15.98,122.45
28.17,58.69,34.11,Sandy,Cotton,12,8,33,20-20,20.64,118.58
29.25,54.52,41.4,Clayey,Paddy,35,0,0,28-28,18.98,119.21
22.26,51.36,48.36,Loamy,Tobacco,6,16,17,Urea,20.66,119.88
30.76,66.64,56.32,Red,Ground Nuts,41,3,4,28-28,25.13,141.32
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,Urea,19.73,138.73
29.21,64.21,54.95,Red,Wheat,7,11,31,14-35-14,24.76,140.54
26.01,59.52,35.75,Loamy,Pulses,11,13,15,28-28,18.95,121.82
29.5,55.42,51.17,Red,Cotton,23,0,23,10/26/2026,22.68,125.25
32.98,62.02,33.12,Red,Wheat,40,0,0,10/26/2026,18.83,124.84
24.24,59.04,50.07,Loamy,Barley,38,0,1,Urea,21.77,128.13
33.54,59.28,52.09,Clayey,Wheat,21,3,20,20-20,22.95,120.48
34.43,72.28,62.22,Clayey,Ground Nuts,35,4,0,17-17-17,25.52,145.14
32.19,68.94,67.37,Sandy,Barley,15,0,33,20-20,27.57,149.23
32.55,71.46,67.14,Clayey,Oil seeds,5,7,32,20-20,27.17,150.25
28.38,52.02,43.83,Loamy,Wheat,13,0,38,10/26/2026,21.62,109.32
25.4,43.57,38.51,Red,Maize,36,0,0,28-28,17.46,97.43
33.8,52.28,53.31,Clayey,Millets,12,15,15,28-28,22.19,104.08
28.38,47.58,34.86,Black,Paddy,20,0,20,28-28,17.73,110.37
28.37,59.8,35.35,Black,Oil seeds,23,2,16,17-17-17,19.2,127.5
30.08,73.84,41.22,Sandy,Sugarcane,1,14,22,10/26/2026,21.18,153.84
34.95,64.93,62.63,Clayey,Wheat,31,1,0,14-35-14,23.82,138.17
35.56,74.88,52.16,Clayey,Cotton,20,0,21,14-35-14,24.07,165.11
24.05,52.76,58.9,Sandy,Oil seeds,7,1,7,DAP,19.31,132.62
23.42,53.65,69.68,Sandy,Barley,11,3,14,20-20,23.5,120.0
31.68,62.14,42.55,Black,Sugarcane,17,0,31,17-17-17,21.92,128.82
31.03,69.0,49.46,Loamy,Maize,19,0,19,20-20,22.49,140.21
31.78,44.27,45.07,Loamy,Maize,5,8,32,DAP,20.19,95.56
22.3,60.64,40.78,Sandy,Ground Nuts,39,0,2,28-28,20.37,140.57
26.39,52.62,22.27,Sandy,Cotton,8,1,43,17-17-17,17.52,121.65
29.36,64.39,20.0,Red,Tobacco,13,4,39,10/26/2026,18.84,140.92
26.67,47.94,34.08,Black,Sugarcane,13,0,8,DAP,14.76,118.83
26.75,56.87,20.0,Clayey,Barley,12,6,30,17-17-17,16.89,127.5
30.64,65.77,32.86,Clayey,Sugarcane,24,0,17,17-17-17,19.3,131.95
29.89,48.59,38.0,Clayey,Pulses,26,0,21,28-28,19.51,110.3
28.61,62.22,41.53,Loamy,Ground Nuts,8,13,18,Urea,20.38,131.8
37.09,63.72,47.99,Red,Sugarcane,39,2,0,17-17-17,22.12,117.81
21.78,55.6,33.66,Loamy,Maize,37,3,0,10/26/2026,18.29,129.04
30.42,70.37,55.92,Red,Wheat,2,5,25,17-17-17,23.02,146.91
35.39,52.28,42.97,Sandy,Pulses,10,17,12,10/26/2026,19.67,108.08
30.53,52.17,41.92,Black,Oil seeds,3,15,15,Urea,18.55,109.92
28.09,56.62,36.14,Loamy,Ground Nuts,10,0,34,20-20,19.49,136.29
22.95,55.86,31.58,Black,Paddy,16,3,22,28-28,18.05,134.43
32.06,75.56,55.73,Sandy,Tobacco,18,1,38,17-17-17,27.25,152.07
38.4,67.88,62.06,Clayey,Maize,11,11,16,28-28,24.9,131.37
33.59,66.16,69.67,Sandy,Pulses,12,13,27,20-20,28.35,136.38
26.47,62.91,46.87,Sandy,Ground Nuts,10,4,11,28-28,19.41,140.63
31.56,58.25,29.12,Loamy,Oil seeds,13,21,14,14-35-14,18.85,121.1
29.13,56.72,67.72,Clayey,Ground Nuts,8,13,32,17-17-17,27.17,122.21
23.35,59.98,63.83,Black,Oil seeds,36,4,0,14-35-14,24.76,142.46
26.75,58.1,39.27,Clayey,Maize,19,0,20,14-35-14,19.51,132.28
30.42,48.76,42.28,Red,Millets,41,0,1,17-17-17,19.63,99.13
24.9,51.02,31.9,Loamy,Ground Nuts,14,13,8,17-17-17,16.73,119.88
27.31,57.3,22.41,Loamy,Wheat,34,1,0,Urea,15.46,123.42
31.5,74.7,23.25,Clayey,Ground Nuts,8,1,9,DAP,14.82,145.72
27.63,69.25,41.18,Loamy,Millets,19,0,26,DAP,21.91,143.05
22.59,45.7,33.13,Black,Maize,38,0,4,14-35-14,17.5,105.62
35.97,60.1,26.8,Black,Tobacco,11,2,40,20-20,19.32,108.61
27.69,55.55,27.9,Red,Sugarcane,26,2,22,20-20,18.63,126.62
24.27,52.43,62.34,Loamy,Millets,6,1,14,DAP,20.86,121.33
30.42,50.01,26.27,Black,Ground Nuts,9,3,11,28-28,13.71,96.46
31.52,44.64,42.86,Red,Barley,13,0,35,28-28,20.24,97.4
30.64,57.57,46.45,Red,Wheat,12,4,13,20-20,19.4,125.11
22.17,47.78,43.03,Clayey,Paddy,15,0,16,28-28,18.03,116.85
36.5,65.85,42.33,Loamy,Maize,5,10,32,10/26/2026,22.1,132.27
35.13,65.69,37.76,Black,Maize,8,4,6,28-28,16.82,120.41
24.82,53.75,47.97,Black,Ground Nuts,6,14,10,DAP,19.47,114.8
31.24,55.88,37.05,Sandy,Oil seeds,6,0,9,Urea,15.25,120.86
29.77,46.18,63.79,Loamy,Cotton,5,3,14,10/26/2026,20.68,98.28
25.86,46.65,32.67,Clayey,Oil seeds,35,0,0,17-17-17,16.45,96.57
30.15,60.77,42.93,Clayey,Cotton,44,0,0,Urea,21.26,126.16
29.46,59.4,49.1,Clayey,Ground Nuts,10,0,12,28-28,19.06,121.3
29.37,64.45,64.66,Black,Cotton,38,0,0,10/26/2026,25.08,142.33
23.63,58.75,35.6,Red,Oil seeds,19,0,18,28-28,18.55,132.79
32.45,60.24,55.92,Sandy,Millets,10,5,31,28-28,24.11,124.78
37.34,63.39,25.36,Red,Paddy,15,4,39,14-35-14,20.11,121.62
30.41,67.24,65.58,Loamy,Cotton,3,8,34,17-17-17,26.59,135.7
31.9,55.45,59.87,Sandy,Barley,12,0,37,14-35-14,24.87,112.22
35.85,52.79,54.13,Clayey,Cotton,16,13,16,17-17-17,22.86,98.74
28.87,49.91,35.02,Red,Pulses,20,0,23,10/26/2026,18.45,112.59
26.33,50.2,45.34,Clayey,Oil seeds,9,19,18,10/26/2026,20.99,116.41
29.67,58.75,40.69,Sandy,Sugarcane,35,0,0,Urea,19.26,134.86
32.2,50.72,39.63,Clayey,Ground Nuts,23,0,15,28-28,18.7,100.45
29.24,62.15,51.65,Black,Millets,6,0,41,10/26/2026,23.59,132.62
34.15,71.16,41.7,Red,Paddy,37,0,1,Urea,21.16,135.56
31.56,55.15,56.8,Red,Barley,9,0,35,DAP,23.48,108.77
24.76,56.88,20.0,Clayey,Oil seeds,9,0,36,10/26/2026,16.44,131.32
34.15,63.96,47.64,Red,Barley,11,0,14,14-35-14,19.67,128.28
30.7,57.71,38.36,Sandy,Wheat,9,4,18,28-28,18.09,121.78
34.89,53.79,37.58,Red,Ground Nuts,23,2,22,Urea,19.95,113.2
26.7,63.42,24.65,Sandy,Cotton,13,1,42,17-17-17,19.67,139.08
23.75,61.43,52.94,Black,Ground Nuts,37,0,0,DAP,22.28,137.24
25.73,52.9,46.14,Red,Cotton,21,0,18,20-20,20.37,120.1
25.36,50.91,24.39,Loamy,Wheat,13,0,10,20-20,13.42,123.15
36.35,61.89,65.38,Black,Sugarcane,39,0,0,DAP,25.12,122.29
21.91,46.66,45.27,Black,Millets,24,0,21,14-35-14,20.47,114.53
26.44,65.84,50.2,Clayey,Pulses,10,0,9,28-28,19.47,144.26
28.93,50.28,20.33,Red,Wheat,8,0,12,Urea,12.09,111.68
30.06,53.68,70.0,Sandy,Maize,7,6,34,20-20,26.42,111.99
35.29,64.13,46.59,Clayey,Pulses,16,13,13,14-35-14,22.03,136.17
24.61,63.9,70.0,Loamy,Pulses,41,2,0,DAP,26.84,148.32
29.38,60.44,45.57,Clayey,Millets,19,0,22,14-35-14,21.31,136.16
30.2,51.16,32.5,Red,Barley,20,0,19,DAP,17.47,111.23
32.46,68.2,64.77,Sandy,Sugarcane,11,0,9,14-35-14,22.77,142.2
24.26,53.19,67.73,Clayey,Oil seeds,34,0,4,DAP,24.57,123.74
37.9,75.51,25.35,Clayey,Ground Nuts,11,0,35,DAP,19.52,149.08
31.1,55.48,46.43,Sandy,Cotton,34,0,2,Urea,20.23,116.37
31.75,62.4,34.97,Black,Wheat,17,0,15,Urea,18.03,126.12
27.29,57.56,53.09,Black,Pulses,15,11,11,20-20,21.92,124.15
26.71,55.89,69.87,Loamy,Paddy,15,0,40,14-35-14,27.81,120.19
29.25,56.07,33.6,Black,Oil seeds,21,0,18,DAP,18.18,124.06
29.73,58.67,29.64,Red,Barley,17,0,20,17-17-17,17.35,125.4
31.62,57.88,42.77,Clayey,Oil seeds,10,12,18,14-35-14,20.34,126.64
25.93,54.07,23.84,Loamy,Maize,8,13,12,14-35-14,15.12,121.0
26.47,55.37,59.34,Sandy,Maize,11,1,12,20-20,21.01,123.81
21.92,53.0,33.57,Black,Barley,18,0,42,17-17-17,21.01,126.34
24.35,58.11,34.04,Clayey,Oil seeds,4,0,10,28-28,14.72,138.03
29.55,45.99,50.06,Red,Sugarcane,9,4,10,10/26/2026,18.06,104.97
28.29,60.24,33.44,Black,Pulses,33,0,2,DAP,17.96,133.62
31.31,73.26,70.0,Loamy,Pulses,11,2,41,14-35-14,29.43,153.79
30.05,58.21,23.31,Loamy,Cotton,43,0,0,17-17-17,16.93,121.12
31.27,62.18,32.06,Sandy,Paddy,21,4,24,14-35-14,19.98,131.65
32.51,61.45,70.0,Loamy,Ground Nuts,10,1,32,Urea,26.59,133.56
23.98,44.94,20.0,Sandy,Oil seeds,14,11,13,28-28,14.19,108.19
30.28,69.29,53.16,Sandy,Tobacco,39,1,2,10/26/2026,23.86,155.99
28.02,54.85,55.71,Sandy,Sugarcane,10,9,18,20-20,22.18,124.57
28.66,56.26,39.29,Black,Sugarcane,37,0,1,DAP,19.18,121.0
30.85,70.39,29.35,Black,Millets,22,0,26,10/26/2026,20.11,144.14
24.51,62.55,65.83,Loamy,Pulses,13,4,5,Urea,22.72,134.94
22.33,56.84,29.98,Black,Ground Nuts,18,4,23,14-35-14,18.43,125.28
29.75,55.39,28.42,Sandy,Tobacco,42,1,4,14-35-14,18.27,119.85
28.27,52.86,22.36,Clayey,Ground Nuts,41,0,2,10/26/2026,16.21,116.93
33.27,67.2,40.49,Loamy,Paddy,17,0,12,10/26/2026,19.17,143.89
38.53,70.2,28.94,Loamy,Millets,10,0,32,17-17-17,19.11,137.97
25.2,60.02,69.92,Sandy,Oil seeds,8,14,31,20-20,27.94,135.81
23.66,55.66,31.32,Red,Wheat,38,0,2,20-20,17.83,133.06
35.01,71.58,39.2,Black,Wheat,9,0,16,14-35-14,18.75,140.84
36.92,69.78,32.64,Clayey,Maize,12,2,31,14-35-14,20.26,136.91
23.74,47.23,43.64,Red,Tobacco,18,0,19,10/26/2026,19.0,114.91
30.51,48.99,28.68,Black,Tobacco,6,0,11,14-35-14,13.19,95.86
27.02,68.83,33.05,Black,Tobacco,0,16,19,Urea,18.74,159.26
27.77,42.89,59.1,Red,Barley,6,2,13,Urea,19.26,96.09
39.65,63.55,47.33,Red,Cotton,3,12,30,Urea,22.57,122.83
37.27,64.08,36.28,Red,Barley,15,4,45,20-20,23.26,126.49
27.93,64.17,62.13,Black,Pulses,7,0,6,20-20,20.79,139.87
29.95,61.75,36.58,Black,Sugarcane,37,0,0,28-28,19.04,129.75
24.97,59.24,47.46,Sandy,Paddy,26,0,21,20-20,22.47,136.04
27.68,61.68,59.47,Clayey,Paddy,18,0,36,17-17-17,26.16,124.23
23.82,47.74,30.62,Black,Cotton,2,20,12,17-17-17,16.0,111.72
34.57,69.61,57.23,Clayey,Pulses,38,0,0,DAP,24.11,141.36
35.1,70.14,56.12,Loamy,Pulses,16,0,44,20-20,27.24,141.37
33.71,59.42,29.32,Black,Barley,16,0,38,14-35-14,19.91,128.34
24.75,45.31,49.7,Clayey,Cotton,23,0,23,10/26/2026,21.37,107.31
37.36,59.64,53.7,Loamy,Millets,3,12,31,10/26/2026,23.6,117.36
32.22,56.29,48.76,Black,Maize,35,0,2,10/26/2026,20.93,115.27
32.35,48.81,46.33,Loamy,Paddy,31,3,0,20-20,19.25,104.21
40.0,80.0,59.99,Clayey,Cotton,42,0,0,10/26/2026,26.3,147.97
25.85,62.32,48.82,Red,Cotton,33,3,0,DAP,21.4,135.01
30.61,66.36,42.09,Red,Barley,8,22,18,DAP,22.25,139.15
34.51,54.79,54.12,Loamy,Maize,5,6,26,28-28,21.85,119.21
29.66,43.74,43.31,Red,Paddy,35,3,2,20-20,19.04,102.53
31.75,46.82,37.35,Red,Maize,16,0,15,DAP,16.8,91.71
25.43,68.65,39.28,Red,Oil seeds,20,0,17,10/26/2026,20.27,150.39
30.97,58.53,29.79,Loamy,Wheat,10,21,13,17-17-17,18.41,127.77
28.58,71.66,46.04,Red,Oil seeds,10,12,9,10/26/2026,21.02,143.28
29.87,63.64,61.4,Black,Wheat,15,16,10,20-20,24.79,135.39
25.09,54.56,34.08,Red,Maize,19,0,21,28-28,18.27,133.79
29.76,45.13,30.91,Red,Cotton,35,2,0,DAP,16.25,96.81
31.38,69.36,35.4,Black,Tobacco,35,3,0,Urea,19.72,145.6
36.7,70.28,23.31,Sandy,Ground Nuts,37,0,0,10/26/2026,17.24,140.45
26.91,44.27,23.76,Loamy,Barley,18,0,45,10/26/2026,18.63,99.18
30.83,53.08,47.02,Black,Oil seeds,7,0,5,DAP,16.51,110.93
31.98,55.89,57.6,Red,Barley,37,4,0,17-17-17,23.26,119.01
30.46,48.84,33.31,Red,Paddy,23,1,25,14-35-14,18.9,103.15
29.24,54.29,47.85,Clayey,Paddy,14,9,32,Urea,23.25,107.07
31.38,67.84,59.74,Loamy,Maize,12,0,34,10/26/2026,25.63,146.27
29.08,54.19,61.72,Clayey,Maize,41,0,1,14-35-14,24.06,118.86
40.0,60.8,50.41,Black,Cotton,12,10,23,10/26/2026,22.91,115.95
23.18,53.55,20.0,Black,Ground Nuts,19,15,15,17-17-17,16.7,129.41
32.61,54.79,70.0,Black,Barley,40,4,0,Urea,26.08,117.53
36.12,72.17,33.4,Sandy,Paddy,9,0,37,Urea,20.8,142.64
23.88,57.05,35.25,Loamy,Barley,40,3,0,20-20,19.2,127.38
30.78,64.7,35.01,Clayey,Pulses,14,0,12,10/26/2026,17.37,131.83
36.46,65.08,43.87,Red,Paddy,10,8,27,10/26/2026,22.03,131.05
40.0,77.61,29.53,Loamy,Sugarcane,7,4,45,10/26/2026,22.07,151.63
32.0,57.73,35.48,Black,Wheat,42,0,0,10/26/2026,19.17,122.17
32.69,69.21,22.19,Black,Sugarcane,4,10,26,20-20,17.36,138.78
29.63,45.37,21.76,Black,Sugarcane,14,0,11,28-28,12.64,96.21
34.22,56.39,49.89,Red,Pulses,25,0,19,14-35-14,22.22,110.76
36.56,76.26,36.26,Sandy,Wheat,7,11,34,10/26/2026,22.68,146.25
37.0,62.94,55.83,Loamy,Pulses,35,1,0,20-20,22.86,119.66
37.66,74.6,28.6,Black,Millets,36,3,3,DAP,19.48,145.17
36.42,75.12,46.56,Sandy,Ground Nuts,14,2,37,DAP,24.77,138.17
29.92,50.41,62.32,Clayey,Ground Nuts,8,9,32,10/26/2026,24.86,113.23
31.96,49.13,52.38,Loamy,Maize,8,0,38,10/26/2026,22.29,109.33
38.65,62.79,58.95,Black,Cotton,10,0,43,20-20,26.02,125.19
24.94,50.42,55.75,Red,Tobacco,35,0,1,14-35-14,21.59,117.59
26.11,52.09,44.94,Black,Pulses,25,4,22,Urea,21.85,116.16
39.68,75.02,51.69,Clayey,Barley,3,4,31,14-35-14,23.54,144.74
32.74,64.14,68.56,Red,Millets,12,0,39,10/26/2026,27.78,138.88
25.3,50.31,45.77,Loamy,Tobacco,14,1,36,14-35-14,21.84,122.21
29.37,61.61,33.0,Loamy,Oil seeds,4,9,26,10/26/2026,18.61,127.34
35.12,61.28,35.3,Red,Sugarcane,11,0,36,Urea,20.24,124.9
31.57,46.3,28.05,Red,Tobacco,36,0,0,14-35-14,15.64,96.24
